datetime,demand_mw,actual_risk_label,predicted_risk_label,risk_score
2018-01-26 22:00:00,34474.0,Medium,Medium,1.77
2018-01-26 23:00:00,32796.0,Low,Medium,0.92
2018-01-27 00:00:00,31142.0,Low,Low,0.38
2018-01-27 01:00:00,29918.0,Low,Low,0.07
2018-01-27 02:00:00,29200.0,Low,Low,0.07
2018-01-27 03:00:00,28864.0,Low,Low,0.0
2018-01-27 04:00:00,28853.0,Low,Low,0.0
2018-01-27 05:00:00,29156.0,Low,Low,0.0
2018-01-27 06:00:00,29992.0,Low,Low,0.0
2018-01-27 07:00:00,31301.0,Low,Low,0.15
2018-01-27 08:00:00,32361.0,Low,Low,0.62
2018-01-27 09:00:00,32625.0,Low,Low,0.51
2018-01-27 10:00:00,31815.0,Low,Low,0.87
2018-01-27 11:00:00,30806.0,Low,Low,0.42
2018-01-27 12:00:00,29800.0,Low,Low,0.22
2018-01-27 13:00:00,28780.0,Low,Low,0.02
2018-01-27 14:00:00,28082.0,Low,Low,0.02
2018-01-27 15:00:00,27820.0,Low,Low,0.0
2018-01-27 16:00:00,28107.0,Low,Low,0.0
2018-01-27 17:00:00,28930.0,Low,Low,0.0
2018-01-27 18:00:00,30796.0,Low,Low,0.15
2018-01-27 19:00:00,31146.0,Low,Low,0.1
2018-01-27 20:00:00,30609.0,Low,Low,0.23
2018-01-27 21:00:00,29904.0,Low,Low,0.23
2018-01-27 22:00:00,28830.0,Low,Low,0.14
2018-01-27 23:00:00,27414.0,Low,Low,0.0
2018-01-28 00:00:00,25833.0,Low,Low,0.0
2018-01-28 01:00:00,24484.0,Low,Low,0.0
2018-01-28 02:00:00,23606.0,Low,Low,0.0
2018-01-28 03:00:00,23142.0,Low,Low,0.0
2018-01-28 04:00:00,22901.0,Low,Low,0.0
2018-01-28 05:00:00,22974.0,Low,Low,0.0
2018-01-28 06:00:00,23477.0,Low,Low,0.0
2018-01-28 07:00:00,24357.0,Low,Low,0.0
2018-01-28 08:00:00,25443.0,Low,Low,0.0
2018-01-28 09:00:00,26725.0,Low,Low,0.0
2018-01-28 10:00:00,27877.0,Low,Low,0.0
2018-01-28 11:00:00,28566.0,Low,Low,0.0
2018-01-28 12:00:00,28919.0,Low,Low,0.0
2018-01-28 13:00:00,28882.0,Low,Low,0.0
2018-01-28 14:00:00,28606.0,Low,Low,0.0
2018-01-28 15:00:00,28524.0,Low,Low,0.0
2018-01-28 16:00:00,28708.0,Low,Low,0.0
2018-01-28 17:00:00,29596.0,Low,Low,0.0
2018-01-28 18:00:00,31559.0,Low,Low,0.0
2018-01-28 19:00:00,32029.0,Low,Low,0.0
2018-01-28 20:00:00,31668.0,Low,Low,0.0
2018-01-28 21:00:00,30921.0,Low,Low,0.0
2018-01-28 22:00:00,29721.0,Low,Low,0.0
2018-01-28 23:00:00,28039.0,Low,Low,0.0
2018-01-29 00:00:00,26494.0,Low,Low,0.0
2018-01-29 01:00:00,25397.0,Low,Low,0.0
2018-01-29 02:00:00,24863.0,Low,Low,0.0
2018-01-29 03:00:00,24736.0,Low,Low,0.0
2018-01-29 04:00:00,24999.0,Low,Low,0.0
2018-01-29 05:00:00,26010.0,Low,Low,0.0
2018-01-29 06:00:00,28316.0,Low,Low,0.0
2018-01-29 07:00:00,31896.0,Low,Low,0.0
2018-01-29 08:00:00,33926.0,Low,Low,0.0
2018-01-29 09:00:00,33973.0,Low,Medium,0.16
2018-01-29 10:00:00,33694.0,Low,Medium,0.75
2018-01-29 11:00:00,33392.0,Low,Low,0.29
2018-01-29 12:00:00,33038.0,Low,Low,0.23
2018-01-29 13:00:00,32881.0,Low,Low,0.32
2018-01-29 14:00:00,33010.0,Low,Low,0.24
2018-01-29 15:00:00,33011.0,Low,Low,0.2
2018-01-29 16:00:00,33246.0,Low,Low,0.17
2018-01-29 17:00:00,34127.0,Low,Low,0.83
2018-01-29 18:00:00,36002.0,Medium,Medium,0.8
2018-01-29 19:00:00,36344.0,Medium,Medium,1.09
2018-01-29 20:00:00,35879.0,Medium,Medium,1.55
2018-01-29 21:00:00,34984.0,Medium,Medium,2.2
2018-01-29 22:00:00,33327.0,Low,Medium,0.94
2018-01-29 23:00:00,31107.0,Low,Low,0.36
2018-01-30 00:00:00,29229.0,Low,Low,0.0
2018-01-30 01:00:00,27942.0,Low,Low,0.0
2018-01-30 02:00:00,27386.0,Low,Low,0.0
2018-01-30 03:00:00,27256.0,Low,Low,0.0
2018-01-30 04:00:00,27530.0,Low,Low,0.0
2018-01-30 05:00:00,28442.0,Low,Low,0.0
2018-01-30 06:00:00,30673.0,Low,Low,0.0
2018-01-30 07:00:00,34121.0,Low,Low,0.0
2018-01-30 08:00:00,36029.0,Medium,Medium,0.49
2018-01-30 09:00:00,36345.0,Medium,Medium,1.28
2018-01-30 10:00:00,36380.0,Medium,Medium,2.94
2018-01-30 11:00:00,36455.0,Medium,Medium,3.22
2018-01-30 12:00:00,36468.0,Medium,Medium,3.42
2018-01-30 13:00:00,36432.0,Medium,Medium,3.73
2018-01-30 14:00:00,36417.0,Medium,Medium,3.42
2018-01-30 15:00:00,36340.0,Medium,Medium,3.51
2018-01-30 16:00:00,36540.0,Medium,Medium,3.99
2018-01-30 17:00:00,37722.0,Medium,Medium,2.11
2018-01-30 18:00:00,40242.0,High,Medium,4.94
2018-01-30 19:00:00,41335.0,High,Medium,39.29
2018-01-30 20:00:00,41237.0,High,High,63.0
2018-01-30 21:00:00,40661.0,High,High,58.05
2018-01-30 22:00:00,39152.0,Medium,Medium,24.78
2018-01-30 23:00:00,37159.0,Medium,Medium,3.05
2018-01-31 00:00:00,35380.0,Medium,Medium,1.62
2018-01-31 01:00:00,34213.0,Low,Low,0.67
2018-01-31 02:00:00,33657.0,Low,Low,0.29
2018-01-31 03:00:00,33657.0,Low,Low,0.31
2018-01-31 04:00:00,33930.0,Low,Low,0.66
2018-01-31 05:00:00,34973.0,Medium,Medium,0.88
2018-01-31 06:00:00,37332.0,Medium,Medium,1.58
2018-01-31 07:00:00,40854.0,High,Medium,7.87
2018-01-31 08:00:00,42096.0,High,High,69.55
2018-01-31 09:00:00,40987.0,High,High,73.96
2018-01-31 10:00:00,39357.0,Medium,High,60.14
2018-01-31 11:00:00,37947.0,Medium,Medium,17.34
2018-01-31 12:00:00,36750.0,Medium,Medium,4.17
2018-01-31 13:00:00,35809.0,Medium,Medium,3.75
2018-01-31 14:00:00,35379.0,Medium,Medium,4.26
2018-01-31 15:00:00,35363.0,Medium,Medium,4.48
2018-01-31 16:00:00,36044.0,Medium,Medium,4.45
2018-01-31 17:00:00,37309.0,Medium,Medium,4.15
2018-01-31 18:00:00,39636.0,Medium,Medium,17.66
2018-01-31 19:00:00,40510.0,High,High,57.51
2018-01-31 20:00:00,40054.0,High,High,71.47
2018-01-31 21:00:00,39104.0,Medium,Medium,36.28
2018-01-31 22:00:00,37331.0,Medium,Medium,10.63
2018-01-31 23:00:00,34651.0,Medium,Medium,3.46
2018-02-01 00:00:00,32461.0,Low,Low,1.5
2018-02-01 01:00:00,30843.0,Low,Low,1.62
2018-02-01 02:00:00,29981.0,Low,Low,1.0
2018-02-01 03:00:00,29591.0,Low,Low,0.39
2018-02-01 04:00:00,29629.0,Low,Low,0.34
2018-02-01 05:00:00,30282.0,Low,Low,0.06
2018-02-01 06:00:00,32318.0,Low,Low,0.15
2018-02-01 07:00:00,35491.0,Medium,Medium,1.23
2018-02-01 08:00:00,36966.0,Medium,Medium,3.97
2018-02-01 09:00:00,36674.0,Medium,Medium,9.63
2018-02-01 10:00:00,36123.0,Medium,Medium,6.25
2018-02-01 11:00:00,35537.0,Medium,Medium,4.71
2018-02-01 12:00:00,34859.0,Medium,Medium,4.0
2018-02-01 13:00:00,34174.0,Low,Medium,4.05
2018-02-01 14:00:00,33644.0,Low,Medium,3.3
2018-02-01 15:00:00,33391.0,Low,Medium,2.63
2018-02-01 16:00:00,33426.0,Low,Medium,1.97
2018-02-01 17:00:00,34231.0,Low,Medium,1.72
2018-02-01 18:00:00,35970.0,Medium,Medium,3.44
2018-02-01 19:00:00,36247.0,Medium,Medium,1.45
2018-02-01 20:00:00,35772.0,Medium,Medium,3.31
2018-02-01 21:00:00,34793.0,Medium,Medium,2.08
2018-02-01 22:00:00,33252.0,Low,Medium,1.44
2018-02-01 23:00:00,31116.0,Low,Low,0.92
2018-02-02 00:00:00,29278.0,Low,Low,0.19
